Date,Species,Code,Lincomycin,Treatment_min,Treatment_ue,Index,Int,Date,Time,ELED A,ELED B,ELED C,PMT eht,ADC,dbar,PAR,Fo(F'),Fm('),Fv(Fq'),Fv/Fm(Fq'/Fm'),p('),RSigma('),Sigma('),Fa('),Fmr('),Tau('),Fm (link),Fo' (link),NPQ,NSV,F'/Fm,1-qP,rP,[RCII],JPII,JVPII,aLHII,[Chl],GPS,,,,SE,Note,LEDa °C,LEDb °C,LEDc °C,RAW S,RAW B
20190903,Tp,Tp(-) T0,0,0,1200,11,150,2019-09-03,08:52:31,1.6,0,0,268,55.3,-0.33,0,61.36,133.5,72.16,0.54,0.447,0.0676,4.22,103.7,125,492,,,,0.838,,,,284.7,,,1.34,490.8,0,0,0° 0.000' N,0° 0.000' E,0.17,,41.82,39.32,38.01,,
20190903,Tp,,0,0,1200,12,150,2019-09-03,08:52:40,1.6,0,0,268,55.1,-0.35,0,60.79,133.1,72.31,0.543,0.449,0.0685,4.28,103.6,124.9,489,,,,0.843,,,,278.4,,,1.32,486.3,0,0,0° 0.000' N,0° 0.000' E,0.17,,41.93,39.37,38.07,,
20190903,Tp,,0,0,1200,13,150,2019-09-03,08:52:50,1.6,0,0,268,55,-0.33,0,60.94,133.5,72.51,0.543,0.442,0.0681,4.26,103.3,125.2,483,,,,0.853,,,,280.6,,,1.324,487.6,0,0,0° 0.000' N,0° 0.000' E,0.21,,41.93,39.48,37.96,,
20190903,Tp,,0,0,1200,14,150,2019-09-03,08:53:04,1.6,0,0,268,55.2,-0.33,0,61.4,133.4,71.97,0.54,0.453,0.0687,4.29,103.9,125.2,483,,,,0.848,,,,280.1,,,1.342,491.2,0,0,0° 0.000' N,0° 0.000' E,0.11,,41.93,39.37,38.07,,
20190903,Tp,,0,0,1200,15,150,2019-09-03,08:53:15,1.6,0,0,268,54.8,-0.33,0,61.23,133.5,72.3,0.541,0.455,0.0684,4.28,102.8,124.9,480,,,,0.813,,,,280.5,,,1.334,489.9,0,0,0° 0.000' N,0° 0.000' E,0.12,,41.93,39.48,37.96,,
20190903,Tp,,,,,,,,,,,,,,,,61.09,,,0.54175,,,4.2775,,,,,,,,,,,,,,,,,,,,,,,,,,
20190903,Tp,Tp(+) T0,1,0,1200,16,150,2019-09-03,09:06:41,1.6,0,0,268,53.2,-0.33,0,58.87,128.7,69.81,0.543,0.461,0.069,4.31,99.48,120.4,482,,,,0.853,,,,267.6,,,1.28,471,0,0,0° 0.000' N,0° 0.000' E,0.16,,41.77,39.21,37.96,,
20190903,Tp,,1,0,1200,17,150,2019-09-03,09:06:51,1.6,0,0,268,53.3,-0.33,0,59.23,128.6,69.39,0.539,0.466,0.0692,4.32,99.84,120.7,481,,,,0.853,,,,268.5,,,1.295,473.8,0,0,0° 0.000' N,0° 0.000' E,0.19,,41.82,39.21,37.96,,
20190903,Tp,,1,0,1200,18,150,2019-09-03,09:07:02,1.6,0,0,268,53.2,-0.33,0,59.19,128.6,69.38,0.54,0.466,0.0696,4.35,99.42,120.8,477,,,,0.856,,,,266.6,,,1.294,473.5,0,0,0° 0.000' N,0° 0.000' E,0.15,,41.82,39.27,37.96,,
20190903,Tp,,1,0,1200,19,150,2019-09-03,09:07:13,1.6,0,0,268,53.1,-0.33,0,59.33,128.7,69.33,0.539,0.465,0.0696,4.35,99.39,120.4,475,,,,0.854,,,,267.2,,,1.299,474.7,0,0,0° 0.000' N,0° 0.000' E,0.17,,41.77,39.27,37.96,,
20190903,Tp,,1,0,1200,20,150,2019-09-03,09:07:23,1.6,0,0,268,53.2,-0.33,0,59.32,128.9,69.55,0.54,0.466,0.0701,4.38,99.33,120.2,475,,,,1.052,,,,265.4,,,1.297,474.5,0,0,0° 0.000' N,0° 0.000' E,0.16,,41.82,39.27,37.96,,
20190903,Tp,,,,,,,,,,,,,,,,59.2675,,,0.5395,,,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,
20190903,Tp,Tp(-) T30,0,30,1200,21,150,2019-09-03,09:21:30,1.6,0,0,268,35,-0.35,0,47.17,72.32,25.15,0.348,0.255,0.0579,3.62,61.1,70.17,485,,,0.79,1.415,,,,255.3,,,1.6,377.3,0,0,0° 0.000' N,0° 0.000' E,0.25,,41.82,39.21,37.91,,
20190903,Tp,,0,30,1200,22,150,2019-09-03,09:21:48,1.6,0,0,268,47.3,-0.35,0,67.28,105.5,38.27,0.363,0.247,0.0595,3.72,88.74,102,471,,,0.23,0.969,,,,354.6,,,2.19,538.2,0,0,0° 0.000' N,0° 0.000' E,0.2,,41.82,39.21,37.91,,
20190903,Tp,,0,30,1200,23,150,2019-09-03,09:21:58,1.6,0,0,278,50.2,-0.35,0,54.01,84.05,30.04,0.357,0.295,0.0644,4.02,71.22,82.48,444,,,0.54,1.217,,,,263.1,,,1.783,432.1,0,0,0° 0.000' N,0° 0.000' E,0.17,,41.77,39.27,37.96,,
20190903,Tp,,0,30,1200,24,150,2019-09-03,09:22:08,1.6,0,0,278,52,-0.35,0,55.98,87.95,31.97,0.364,0.286,0.0652,4.07,74.13,85.83,443,,,0.47,1.163,,,,269.4,,,1.817,447.8,0,0,0° 0.000' N,0° 0.000' E,0.21,,41.77,39.27,37.96,,
